Text,Output
Physical abuse by the husband causing injuries.,dowry-deaths
Verbal and emotional abuse including constant humiliation.,dowry-deaths
Threats of violence or divorce for dowry demands.,dowry-deaths
Demanding a specific amount of dowry or expensive gifts.,dowry-deaths
Harassment for not meeting dowry demands.,dowry-deaths  
Continuous criticism and derogatory comments.,dowry-deaths
Isolation from family and friends.,dowry-deaths
Restricting the wife's freedom and mobility.,dowry-deaths
Forced and unnatural sexual acts.,dowry-deaths
Neglecting the wife's basic needs.,dowry-deaths
Controlling finances and denying money for essential expenses.,dowry-deaths
Imposing strict rules and curfews.,dowry-deaths
Refusing medical treatment when needed.,dowry-deaths
False accusations of adultery or immorality.,dowry-deaths
Spreading false rumors about the wife.,dowry-deaths
Threatening to harm the wife's family.,dowry-deaths
Forcing the wife to work excessively without rest.,dowry-deaths
Denying access to education or opportunities for personal growth.,dowry-deaths
Destroying the wife's personal belongings.,dowry-deaths
Forcing the wife to perform degrading tasks.,dowry-deaths
Forcing the wife to eat separately or inferior food.,dowry-deaths
Public humiliation and name-calling.,dowry-deaths  
Forcing the wife to perform heavy labor.,dowry-deaths
Monitoring the wife's every move.,dowry-deaths
Locking the wife in the house.,dowry-deaths
Forcing the wife to perform religious rituals against her will.,dowry-deaths
Refusing to allow the wife to see her children.,dowry-deaths
Threatening to kill the wife.,dowry-deaths  
Forcing the wife to engage in illegal activities.,dowry-deaths
Coercing the wife to sign over property or assets.,dowry-deaths 
Forcing the wife to take on debt.,dowry-deaths
Withholding affection and emotional support.,dowry-deaths
Controlling the wife's social interactions.,dowry-deaths
Forcing the wife to abort pregnancies against her will.,dowry-deaths
Discrimination based on her cooking or housekeeping.,dowry-deaths
Insisting on son preference and mistreating daughters.,dowry-deaths
Forcing the wife to consume alcohol or drugs.,dowry-deaths
Harassing the wife for not bearing children.,dowry-deaths  
Harassing the wife for giving birth to female children.,dowry-deaths
Forcing the wife to have multiple abortions.,dowry-deaths
Threatening to abandon the wife or leave her homeless.,dowry-deaths
Harassing the wife for infertility or impotence.,dowry-deaths
Physical abuse during pregnancy.,dowry-deaths
Denying proper nutrition during pregnancy.,dowry-deaths
Forcing the wife to have unsafe abortions.,dowry-deaths
Forcing the wife to undergo sterilization.,dowry-deaths
Disposing of the wife's jewelry or belongings.,dowry-deaths  
Impersonating the wife to commit fraud.,dowry-deaths
Forcing the wife to participate in criminal activities.,dowry-deaths
Threatening to have the wife committed to a mental institution.,dowry-deaths
Harassing the wife for insufficient dowry.,dowry-deaths  
Harassing the wife for not meeting dowry demands after marriage.,dowry-deaths
Repeatedly demanding dowry over time.,dowry-deaths
Threatening to throw the wife out of the house.,dowry-deaths
Accusing the wife of having an affair.,dowry-deaths
Accusing the wife of causing family disputes.,dowry-deaths
Accusing the wife of being disrespectful.,dowry-deaths
Accusing the wife of disobedience.,dowry-deaths  
Accusing the wife of poor housekeeping.,dowry-deaths
Accusing the wife of being a bad cook.,dowry-deaths
Accusing the wife of being a bad mother.,dowry-deaths
Accusing the wife of being a bad wife.,dowry-deaths
Accusing the wife of bringing bad luck.,dowry-deaths
Accusing the wife of tarnishing the family's reputation.,dowry-deaths
Accusing the wife of being of inferior social status.,dowry-deaths
Accusing the wife of being of a different religion or caste.,dowry-deaths
Accusing the wife of not respecting traditions.,dowry-deaths
Accusing the wife of not conforming to family expectations.,dowry-deaths  
Accusing the wife of not meeting religious standards.,dowry-deaths
Accusing the wife of not being attractive enough.,dowry-deaths
Accusing the wife of being too modern.,dowry-deaths
Accusing the wife of being too westernized.,dowry-deaths
Accusing the wife of being too educated.,dowry-deaths
Accusing the wife of not being submissive enough.,dowry-deaths
Accusing the wife of not being obedient enough.,dowry-deaths
Accusing the wife of not being domestic enough.,dowry-deaths
Accusing the wife of not being obedient to in-laws.,dowry-deaths
Accusing the wife of not respecting customs.,dowry-deaths
