text,category
My wife Radha was burnt alive by her husband's family they were demanding more dowry from us.,dowry-deaths
Meena my daughter suffocated to death after being tortured for not fulfilling dowry demands of her in-laws.,dowry-deaths
Domestic violence by my son-in-law's family led to Priya's eventual death they were greedy for more dowry.,dowry-deaths
Unable to bear harassment from in-laws over dowry issue my daughter Sumitra committed suicide.,dowry-deaths
Pooja my young bride died from grievous injuries inflicted by her husband who wanted a bigger dowry.,dowry-deaths
The dowry demands took my sister Seema's life she was set on fire by her greedy in-laws.,dowry-deaths
My wife Kamala ended her life by consuming poison to escape continuous dowry harassment from my family.,dowry-deaths
My daughter Radhika was beaten black & blue over meager dowry amount and died in hospital.,dowry-deaths
Unable to pay full dowry my wife Malti was strangled to death by her greedy husband & in-laws.,dowry-deaths
Savitri my daughter suffered fatal burn injuries her husband & family demanded more dowry.,dowry-deaths
The groom's family tortured & killed my daughter Reena within months of her marriage over dowry dispute.,dowry-deaths
Dowry greed took a sordid turn my niece Anita was murdered by her husband's greedy relatives.,dowry-deaths
Shabnam bore the brunt of dowry demands from her in-laws and paid with her life.,dowry-deaths
Unable to fulfill demands my daughter Shanti was killed by her abusive husband.,dowry-deaths
Dowry took precedence over my daughter-in-law Nisha's life it was a bride burning case.,dowry-deaths
Neha my sister endured mental & physical torture from her in-laws before being killed over dowry.,dowry-deaths
My young daughter Rani was strangled by her husband who harassed her constantly for more dowry.,dowry-deaths
Dowry demands by her husband & in-laws drove my wife Kiran to suicide.,dowry-deaths
Kajal my daughter-in-law was set ablaze by her husband who was dissatisfied with her dowry gifts.,dowry-deaths
Geeta my wife died of injuries from sustained beating by her in-laws over dowry issue.,dowry-deaths
My wife Rakhi was killed by her husband for not satisfying his greedy dowry demands.,dowry-deaths
Meena my daughter was starved & tortured to death by her in-laws demanding more dowry after marriage.,dowry-deaths
Fatima bore the brunt of dowry harassment before being burnt alive by her husband's family.,dowry-deaths
My young daughter Roma's tragic death was caused by her abusive husband who harassed her over inadequate dowry.,dowry-deaths
Preeti my niece was killed by her cruel in-laws who wanted more dowry from her family.,dowry-deaths
Dowry took the life of my daughter Naina who was newly-wed bride.,dowry-deaths
Unable to bear never-ending dowry demands my wife Pooja committed suicide.,dowry-deaths
Dowry disagreements resulted in my sister Jyoti's gruesome murder by her husband's greedy family.,dowry-deaths
My daughter Kajal's refusal to meet dowry demands of her in-laws ended in her tragic death.,dowry-deaths
Greedy dowry demands from my son's in-laws cost my daughter-in-law Sudha her precious life.,dowry-deaths
Shobha my wife endured severe torture before being killed over dowry dispute with her family.,dowry-deaths
